evs,geoid,county
192172,06001,Alameda
38,06003,Alpine
768,06005,Amador
3423,06007,Butte
999,06009,Calaveras
125,06011,Colusa
102886,06013,Contra Costa
375,06015,Del Norte
10749,06017,El Dorado
22285,06019,Fresno
213,06021,Glenn
6406,06023,Humboldt
945,06025,Imperial
243,06027,Inyo
11954,06029,Kern
1378,06031,Kings
1498,06033,Lake
68,06035,Lassen
642677,06037,Los Angeles
2158,06039,Madera
40179,06041,Marin
289,06043,Mariposa
4026,06045,Mendocino
3194,06047,Merced
14,06049,Modoc
191,06051,Mono
12839,06053,Monterey
9499,06055,Napa
3869,06057,Nevada
303324,06059,Orange
22561,06061,Placer
159,06063,Plumas
81505,06065,Riverside
58327,06067,Sacramento
2658,06069,San Benito
61962,06071,San Bernardino
197012,06073,San Diego
62911,06075,San Francisco
19665,06077,San Joaquin
14076,06079,San Luis Obispo
102569,06081,San Mateo
18988,06083,Santa Barbara
332645,06085,Santa Clara
23148,06087,Santa Cruz
2562,06089,Shasta
25,06091,Sierra
391,06093,Siskiyou
19588,06095,Solano
43164,06097,Sonoma
9226,06099,Stanislaus
1098,06101,Sutter
477,06103,Tehama
169,06105,Trinity
4731,06107,Tulare
811,06109,Tuolumne
51418,06111,Ventura
11367,06113,Yolo
942,06115,Yuba
