geoid,county,stations,evs,ratio
06037,Los Angeles,3193,642677,0.005
06085,Santa Clara,1546,332645,0.005
06059,Orange,1531,303324,0.005
06081,San Mateo,1295,102569,0.013
06073,San Diego,1010,197012,0.005
06001,Alameda,765,192172,0.004
06065,Riverside,490,81505,0.006
06075,San Francisco,409,62911,0.007
06067,Sacramento,384,58327,0.007
06071,San Bernardino,351,61962,0.006
06019,Fresno,329,22285,0.015
06013,Contra Costa,298,102886,0.003
06097,Sonoma,204,43164,0.005
06111,Ventura,201,51418,0.004
06079,San Luis Obispo,164,14076,0.012
06041,Marin,164,40179,0.004
06083,Santa Barbara,147,18988,0.008
06061,Placer,138,22561,0.006
06095,Solano,135,19588,0.007
06055,Napa,124,9499,0.013
06029,Kern,122,11954,0.010
06053,Monterey,122,12839,0.010
06087,Santa Cruz,108,23148,0.005
06077,San Joaquin,95,19665,0.005
06113,Yolo,84,11367,0.007
06017,El Dorado,69,10749,0.006
06045,Mendocino,63,4026,0.016
06023,Humboldt,62,6406,0.010
06057,Nevada,43,3869,0.011
06099,Stanislaus,40,9226,0.004
06107,Tulare,37,4731,0.008
06039,Madera,37,2158,0.017
06007,Butte,31,3423,0.009
06047,Merced,26,3194,0.008
06031,Kings,24,1378,0.017
06089,Shasta,22,2562,0.009
06109,Tuolumne,20,811,0.025
06093,Siskiyou,19,391,0.049
06043,Mariposa,19,289,0.066
06069,San Benito,13,2658,0.005
06015,Del Norte,12,375,0.032
06005,Amador,12,768,0.016
06103,Tehama,11,477,0.023
06027,Inyo,9,243,0.037
06051,Mono,8,191,0.042
06011,Colusa,7,125,0.056
06033,Lake,7,1498,0.005
06115,Yuba,6,942,0.006
06025,Imperial,6,945,0.006
06035,Lassen,6,68,0.088
06009,Calaveras,5,999,0.005
06101,Sutter,4,1098,0.004
06105,Trinity,4,169,0.024
06003,Alpine,4,38,0.105
06021,Glenn,3,213,0.014
06063,Plumas,3,159,0.019
06049,Modoc,3,14,0.214
06091,Sierra,1,25,0.040
